"Constitucion","codeISO3","Pais","Año"
"http://www.constituteproject.org/constitution/Albania_2020","ALB","Albania","2020"
"http://www.constituteproject.org/constitution/Algeria_2020","DZA","Argelia","2020"
"http://www.constituteproject.org/constitution/Angola_2010","AGO","Angola","2010"
"http://www.constituteproject.org/constitution/Antigua_and_Barbuda_1981","ATG","Antigua y Barbuda","1981"
"http://www.constituteproject.org/constitution/Argentina_1994","ARG","la Argentina","1994"
"http://www.constituteproject.org/constitution/Armenia_2020","ARM","Armenia","2020"
"http://www.constituteproject.org/constitution/Bahamas_1973","BHS","las Bahamas","1973"
"http://www.constituteproject.org/constitution/Barbados_2021","BRB","Barbados","2021"
"http://www.constituteproject.org/constitution/Belgium_2021","BEL","Bélgica","2021"
"http://www.constituteproject.org/constitution/Belize_2021","BLZ","Belice","2021"
"http://www.constituteproject.org/constitution/Bhutan_2008","BTN","Bhután","2008"
"http://www.constituteproject.org/constitution/Bolivia_2009","BOL","Bolivia (Estado Plurinacional de)","2009"
"http://www.constituteproject.org/constitution/Bosnia_Herzegovina_2009","BIH","Bosnia y Herzegovina","2009"
"http://www.constituteproject.org/constitution/Brazil_2021","BRA","el Brasil","2021"
"http://www.constituteproject.org/constitution/Bulgaria_2015","BGR","Bulgaria","2015"
"http://www.constituteproject.org/constitution/Cambodia_2014","KHM","Camboya","2014"
"http://www.constituteproject.org/constitution/Cape_Verde_2010","CPV","Cabo Verde","2010"
"http://www.constituteproject.org/constitution/Chile_2021","CHL","Chile","2021"
"http://www.constituteproject.org/constitution/Colombia_2021","COL","Colombia","2021"
"http://www.constituteproject.org/constitution/Comoros_2018","COM","las Comoras","2018"
"http://www.constituteproject.org/constitution/Costa_Rica_2020","CRI","Costa Rica","2020"
"http://www.constituteproject.org/constitution/Cuba_2019","CUB","Cuba","2019"
"http://www.constituteproject.org/constitution/Democratic_Republic_of_the_Congo_2011","COD","la República Democrática del Congo","2011"
"http://www.constituteproject.org/constitution/Denmark_1953","DNK","Dinamarca","1953"
"http://www.constituteproject.org/constitution/Dominica_2014","DMA","Dominica","2014"
"http://www.constituteproject.org/constitution/Dominican_Republic_2015","DOM","la República Dominicana","2015"
"http://www.constituteproject.org/constitution/East_Timor_2002","TLS","Timor-Leste","2002"
"http://www.constituteproject.org/constitution/Ecuador_2021","ECU","el Ecuador","2021"
"http://www.constituteproject.org/constitution/Egypt_2019","EGY","Egipto","2019"
"http://www.constituteproject.org/constitution/El_Salvador_2014","SLV","El Salvador","2014"
"http://www.constituteproject.org/constitution/Eritrea_1997","ERI","Eritrea","1997"
"http://www.constituteproject.org/constitution/Ethiopia_1994","ETH","Etiopía","1994"
"http://www.constituteproject.org/constitution/Fiji_2013","FJI","Fiji","2013"
"http://www.constituteproject.org/constitution/Finland_2018","FIN","Finlandia","2018"
"http://www.constituteproject.org/constitution/Gabon_2020","GAB","el Gabón","2020"
"http://www.constituteproject.org/constitution/Gambia_2018","GMB","Gambia","2018"
"http://www.constituteproject.org/constitution/Georgia_2020","GEO","Georgia","2020"
"http://www.constituteproject.org/constitution/Ghana_1996","GHA","Ghana","1996"
"http://www.constituteproject.org/constitution/Greece_2019","GRC","Grecia","2019"
"http://www.constituteproject.org/constitution/Grenada_1992","GRD","Granada","1992"
"http://www.constituteproject.org/constitution/Guatemala_1993","GTM","Guatemala","1993"
"http://www.constituteproject.org/constitution/Guyana_2016","GUY","Guyana","2016"
"http://www.constituteproject.org/constitution/Haiti_2012","HTI","Haití","2012"
"http://www.constituteproject.org/constitution/Honduras_2021","HND","Honduras","2021"
"http://www.constituteproject.org/constitution/Iceland_2013","ISL","Islandia","2013"
"http://www.constituteproject.org/constitution/India_2021","IND","la India","2021"
"http://www.constituteproject.org/constitution/Indonesia_2002","IDN","Indonesia","2002"
"http://www.constituteproject.org/constitution/Iran_1989","IRN","Irán (República Islámica del)","1989"
"http://www.constituteproject.org/constitution/Iraq_2005","IRQ","el Iraq","2005"
"http://www.constituteproject.org/constitution/Jamaica_2017","JAM","Jamaica","2017"
"http://www.constituteproject.org/constitution/Kenya_2010","KEN","Kenya","2010"
"http://www.constituteproject.org/constitution/Kiribati_2016","KIR","Kiribati","2016"
"http://www.constituteproject.org/constitution/Lesotho_2020","LSO","Lesotho","2020"
"http://www.constituteproject.org/constitution/Liberia_1986","LBR","Liberia","1986"
"http://www.constituteproject.org/constitution/Lithuania_2019","LTU","Lituania","2019"
"http://www.constituteproject.org/constitution/Malawi_2017","MWI","Malawi","2017"
"http://www.constituteproject.org/constitution/Malaysia_2019","MYS","Malasia","2019"
"http://www.constituteproject.org/constitution/Marshall_Islands_1995","MHL","las Islas Marshall","1995"
"http://www.constituteproject.org/constitution/Mauritius_2016","MUS","Mauricio","2016"
"http://www.constituteproject.org/constitution/Mexico_2021","MEX","México","2021"
"http://www.constituteproject.org/constitution/Micronesia_1990","FSM","Micronesia (Estados Federados de)","1990"
"http://www.constituteproject.org/constitution/Monaco_2002","MCO","Mónaco","2002"
"http://www.constituteproject.org/constitution/Mongolia_2019","MNG","Mongolia","2019"
"http://www.constituteproject.org/constitution/Mozambique_2018","MOZ","Mozambique","2018"
"http://www.constituteproject.org/constitution/Myanmar_2020","MMR","Myanmar","2020"
"http://www.constituteproject.org/constitution/Namibia_2014","NAM","Namibia","2014"
"http://www.constituteproject.org/constitution/Nauru_2018","NRU","Nauru","2018"
"http://www.constituteproject.org/constitution/Nepal_2020","NPL","Nepal","2020"
"http://www.constituteproject.org/constitution/Nicaragua_2021","NIC","Nicaragua","2021"
"http://www.constituteproject.org/constitution/Nigeria_2018","NGA","Nigeria","2018"
"http://www.constituteproject.org/constitution/Norway_2020","NOR","Noruega","2020"
"http://www.constituteproject.org/constitution/Pakistan_2019","PAK","el Pakistán","2019"
"http://www.constituteproject.org/constitution/Palau_1992","PLW","Palau","1992"
"http://www.constituteproject.org/constitution/Panama_2004","PAN","Panamá","2004"
"http://www.constituteproject.org/constitution/Papua_New_Guinea_2016","PNG","Papua Nueva Guinea","2016"
"http://www.constituteproject.org/constitution/Paraguay_2011","PRY","el Paraguay","2011"
"http://www.constituteproject.org/constitution/Peoples_Republic_of_Korea_2019","PRK","la República Popular Democrática de Corea","2019"
"http://www.constituteproject.org/constitution/Peru_2021","PER","Perú","2021"
"http://www.constituteproject.org/constitution/Philippines_1987","PHL","Filipinas","1987"
"http://www.constituteproject.org/constitution/Poland_2009","POL","Polonia","2009"
"http://www.constituteproject.org/constitution/Romania_2003","ROU","Rumania","2003"
"http://www.constituteproject.org/constitution/Rwanda_2015","RWA","Rwanda","2015"
"http://www.constituteproject.org/constitution/Seychelles_2018","SYC","Seychelles","2018"
"http://www.constituteproject.org/constitution/Sierra_Leone_2016","SLE","Sierra Leona","2016"
"http://www.constituteproject.org/constitution/Singapore_2021","SGP","Singapur","2021"
"http://www.constituteproject.org/constitution/Solomon_Islands_2018","SLB","las Islas Salomón","2018"
"http://www.constituteproject.org/constitution/Sri_Lanka_2020","LKA","Sri Lanka","2020"
"http://www.constituteproject.org/constitution/St_Kitts_and_Nevis_1983","KNA","Saint Kitts y Nevis","1983"
"http://www.constituteproject.org/constitution/St_Lucia_1978","LCA","Santa Lucía","1978"
"http://www.constituteproject.org/constitution/St_Vincent_and_the_Grenadines_1979","VCT","San Vicente y las Granadinas","1979"
"http://www.constituteproject.org/constitution/Sudan_2020","SDN","el Sudán","2020"
"http://www.constituteproject.org/constitution/Surinam_1992","SUR","Suriname","1992"
"http://www.constituteproject.org/constitution/Swaziland_2005","SWZ","Swazilandia","2005"
"http://www.constituteproject.org/constitution/Thailand_2017","THA","Tailandia","2017"
"http://www.constituteproject.org/constitution/Tonga_2021","TON","Tonga","2021"
"http://www.constituteproject.org/constitution/Trinidad_and_Tobago_2007","TTO","Trinidad y Tabago","2007"
"http://www.constituteproject.org/constitution/Turkey_2017","TUR","Turquía","2017"
"http://www.constituteproject.org/constitution/Tuvalu_2021","TUV","Tuvalu","2021"
"http://www.constituteproject.org/constitution/Uganda_2017","UGA","Uganda","2017"
"http://www.constituteproject.org/constitution/United_Kingdom_2013","GBR","el Reino Unido de Gran Bretaña e Irlanda del Norte","2013"
"http://www.constituteproject.org/constitution/United_States_of_America_1992","USA","los Estados Unidos de América","1992"
"http://www.constituteproject.org/constitution/Uruguay_2004","URY","el Uruguay","2004"
"http://www.constituteproject.org/constitution/Vanuatu_2013","VUT","Vanuatu","2013"
"http://www.constituteproject.org/constitution/Venezuela_2009","VEN","Venezuela (República Bolivariana de)","2009"
"http://www.constituteproject.org/constitution/Zambia_2016","ZMB","Zambia","2016"
"http://www.constituteproject.org/constitution/Zimbabwe_2021","ZWE","Zimbabwe","2021"